Entity,Code,Year,$2.15 a day - share of population below poverty line
Albania,ALB,1996,0.534846
Albania,ALB,2002,1.0926474
Albania,ALB,2005,0.5910857
Albania,ALB,2008,0.19992514
Albania,ALB,2012,0.6206909
Albania,ALB,2014,1.0231007
Albania,ALB,2015,0.12062106
Albania,ALB,2016,0.13930316
Albania,ALB,2017,0.39256993
Albania,ALB,2018,0.048107047
Albania,ALB,2019,0
Algeria,DZA,1988,6.4203115
Algeria,DZA,1995,5.7705665
Algeria,DZA,2011,0.45546752
Angola,AGO,2000,21.408848
Angola,AGO,2008,14.632487
Angola,AGO,2018,31.122005
Argentina - urban,,1980,0.30901244
Argentina - urban,,1986,1.1191322
Argentina - urban,,1987,1.1860859
Argentina - urban,,1991,0.9720286
Argentina - urban,,1992,1.6737125
Argentina - urban,,1993,1.9766662
Argentina - urban,,1994,1.9113266
Argentina - urban,,1995,3.8554344
Argentina - urban,,1996,4.217567
Argentina - urban,,1997,3.765751
Argentina - urban,,1998,3.9691887
Argentina - urban,,1999,4.1879582
Argentina - urban,,2000,4.988261
Argentina - urban,,2001,8.234787
Argentina - urban,,2002,12.447155
Argentina - urban,,2003,5.2792625
Argentina - urban,,2004,3.8130064
Argentina - urban,,2005,2.6311789
Argentina - urban,,2006,2.118256
Argentina - urban,,2007,1.7236683
Argentina - urban,,2008,1.5866702
Argentina - urban,,2009,1.524072
Argentina - urban,,2010,0.7493294
Argentina - urban,,2011,0.7074195
Argentina - urban,,2012,0.6407886
Argentina - urban,,2013,0.62253535
Argentina - urban,,2014,0.61246747
Argentina - urban,,2016,0.6675494
Argentina - urban,,2017,0.42402738
Argentina - urban,,2018,0.7674705
Argentina - urban,,2019,0.78400695
Argentina - urban,,2020,1.0747269
Armenia,ARM,1996,13.898823
Armenia,ARM,1999,11.899414
Armenia,ARM,2001,13.97475
Armenia,ARM,2002,9.966604
Armenia,ARM,2003,7.5395174
Armenia,ARM,2004,5.3178053
Armenia,ARM,2005,2.6295705
Armenia,ARM,2006,1.9985936
Armenia,ARM,2007,1.5362027
Armenia,ARM,2008,0.8796942
Armenia,ARM,2009,1.2476557
Armenia,ARM,2010,0.95146537
Armenia,ARM,2011,1.185071
Armenia,ARM,2012,0.83222234
Armenia,ARM,2013,1.7382652
Armenia,ARM,2014,1.4391431
Armenia,ARM,2015,1.14636
Armenia,ARM,2016,1.1079465
Armenia,ARM,2017,0.7856546
Armenia,ARM,2018,1.339821
Armenia,ARM,2019,1.0300698
Armenia,ARM,2020,0.3881346
Australia,AUS,1981,0.99350303
Australia,AUS,1985,1.0013098
Australia,AUS,1989,0.744275
Australia,AUS,1995,0.74978226
Australia,AUS,2001,0.7474116
Australia,AUS,2003,0.9973307
Australia,AUS,2004,0.71253717
Australia,AUS,2008,0.36123243
Australia,AUS,2010,0.34916842
Australia,AUS,2014,0.4984838
Australia,AUS,2016,0.49874178
Australia,AUS,2018,0.49709398
Austria,AUT,1987,0
Austria,AUT,1994,0.24839921
Austria,AUT,1995,0.99403155
Austria,AUT,1997,0.20907757
Austria,AUT,2000,0.24160877
Austria,AUT,2003,0.33220327
Austria,AUT,2004,0.08165289
Austria,AUT,2005,0.1536901
Austria,AUT,2006,0.090110004
Austria,AUT,2007,0.37229174
Austria,AUT,2008,0.47116703
Austria,AUT,2009,0.65623474
Austria,AUT,2010,0.49070254
Austria,AUT,2011,0.41540423
Austria,AUT,2012,0.6169174
Austria,AUT,2013,0.33799785
Austria,AUT,2014,0.22426021
Austria,AUT,2015,0.67719305
Austria,AUT,2016,0.6640636
Austria,AUT,2017,0.31808963
Austria,AUT,2018,0.56835836
Austria,AUT,2019,0.6406389
Azerbaijan,AZE,1995,12.420592
Azerbaijan,AZE,2001,6.1576586
Azerbaijan,AZE,2002,0.07950147
Azerbaijan,AZE,2003,0.050580967
Azerbaijan,AZE,2004,0
Azerbaijan,AZE,2005,0
Bangladesh,BGD,1983,37.285065
Bangladesh,BGD,1988,41.736576
Bangladesh,BGD,1991,41.944862
Bangladesh,BGD,1995,33.668743
Bangladesh,BGD,2000,33.321335
Bangladesh,BGD,2005,23.96659
Bangladesh,BGD,2010,18.223856
Bangladesh,BGD,2016,13.468303
Belarus,BLR,1993,0.40664917
Belarus,BLR,1995,1.2487658
Belarus,BLR,1998,21.763365
Belarus,BLR,1999,19.192299
Belarus,BLR,2000,13.642426
Belarus,BLR,2001,6.624224
Belarus,BLR,2002,4.394347
Belarus,BLR,2003,3.5103552
Belarus,BLR,2004,1.3008308
Belarus,BLR,2005,0.8908867
Belarus,BLR,2006,0.39857945
Belarus,BLR,2007,0.21858977
Belarus,BLR,2008,0.16652432
Belarus,BLR,2009,0.13817227
Belarus,BLR,2010,0.033942714
Belarus,BLR,2011,0.0065759616
Belarus,BLR,2012,0.01205592
Belarus,BLR,2013,0
Belarus,BLR,2014,0
Belarus,BLR,2015,0
Belarus,BLR,2016,0
Belarus,BLR,2017,0
Belarus,BLR,2018,0
Belarus,BLR,2019,0
Belarus,BLR,2020,0
Belgium,BEL,1985,0.24018778
Belgium,BEL,1988,0.47780892
Belgium,BEL,1992,0.9832838
Belgium,BEL,1995,0.41241008
Belgium,BEL,1997,0.4924794
